Year,SERIES,UNIT_MEASURE,Sex,Type of skill,AGE,Degree of urbanisation,Value
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,"Finding, downloading, installing and configuring software",Y25T74,All areas,37.0
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Finding, downloading, installing and configuring software",Y25T74,All areas,16.6
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Finding, downloading, installing and configuring software",Y25T74,All areas,26.1
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,"Finding, downloading, installing and configuring software",Y25T74,All areas,36.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Finding, downloading, installing and configuring software",Y25T74,All areas,20.8
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Finding, downloading, installing and configuring software",Y25T74,All areas,33.0
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,"Finding, downloading, installing and configuring software",Y25T74,All areas,37.8
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Transferring files between a computer and other devices,Y25T74,All areas,56.2
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Transferring files between a computer and other devices,Y25T74,All areas,45.2
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Transferring files between a computer and other devices,Y25T74,All areas,12.8
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Transferring files between a computer and other devices,Y25T74,All areas,14.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Transferring files between a computer and other devices,Y25T74,All areas,53.4
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Transferring files between a computer and other devices,Y25T74,All areas,45.1
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Transferring files between a computer and other devices,Y25T74,All areas,12.4
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Transferring files between a computer and other devices,Y25T74,All areas,12.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Transferring files between a computer and other devices,Y25T74,All areas,59.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Transferring files between a computer and other devices,Y25T74,All areas,45.3
2021,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Transferring files between a computer and other devices,Y25T74,All areas,13.2
2023,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Transferring files between a computer and other devices,Y25T74,All areas,16.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Uploading self / user - created content to a website to be shared,Y25T74,All areas,43.9
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Uploading self / user - created content to a website to be shared,Y25T74,All areas,11.3
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Both sexes or no breakdown by sex,Uploading self / user - created content to a website to be shared,Y25T74,All areas,23.3
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Uploading self / user - created content to a website to be shared,Y25T74,All areas,39.5
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Uploading self / user - created content to a website to be shared,Y25T74,All areas,10.0
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Female,Uploading self / user - created content to a website to be shared,Y25T74,All areas,23.4
2017,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Uploading self / user - created content to a website to be shared,Y25T74,All areas,48.6
2019,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Uploading self / user - created content to a website to be shared,Y25T74,All areas,13.1
2020,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",Percent,Male,Uploading self / user - created content to a website to be shared,Y25T74,All areas,23.2
